Filename,Section_Context,Q_No,Question,QCategory-New,QSubCategory-New,Question Form,Answer
kannada-1std,ಬಿಟ್ಟಿರುವ ಪದ್ಯದ ಸಾಲುಗಳನ್ನು ಮಕ್ಕಳಿಂದ ಹೇಳಿಸಿ.,5,ನಿತ್ಯದಿ ದುಡಿದು ಅನ್ನವ ನೀಡುವ,poem based/factual knowledge,,,
kannada-1std,ಬಿಟ್ಟಿರುವ ಪದ್ಯದ ಸಾಲುಗಳನ್ನು ಮಕ್ಕಳಿಂದ ಹೇಳಿಸಿ.,6,ನಾಡಿನ ರಕ್ಷಣೆ ನಿತ್ಯದಿ ಮಾಡುವ,poem based/factual knowledge,,,
kannada-1std,ಚಿತ್ರಗಳನ್ನು ತೋರಿಸಿ ಪ್ರಶ್ನೆಗಳನ್ನು ಕೇಳಿ ಉತ್ತರ ಪಡೆಯಿರಿ,1,ವೈದ್ಯೆ ಏನು ಮಾಡುತ್ತಿದ್ದಾರೆ?,,,,
kannada-1std,"ಪ್ರಶ್ನೆ ಕೇಳಿ, ಮಕ್ಕಳಿಂದ ಉತ್ತರ ಹೇಳಿಸಿ.",1,"ಪ್ರಶ್ನೆ ಕೇಳಿ, ಮಕ್ಕಳಿಂದ ಉತ್ತರ ಹೇಳಿಸಿ.: ಹಳ್ಳಿಯ ಹೆಸರೇನು?",,,,
kannada-1std,"ಪ್ರಶ್ನೆ ಕೇಳಿ, ಮಕ್ಕಳಿಂದ ಉತ್ತರ ಹೇಳಿಸಿ.",2,ಕೋಳಿ ಎಲ್ಲಿ ವಾಸವಾಗಿತ್ತು?,,,,
kannada-1std,"ಪ್ರಶ್ನೆ ಕೇಳಿ, ಮಕ್ಕಳಿಂದ ಉತ್ತರ ಹೇಳಿಸಿ.",3,ಕೋಳಿ ಏನನ್ನು ಬಿತ್ತಲು ಗುಬ್ಬಚ್ಚಿಯ ಸಹಾಯ ಕೇಳಿತು?,,,,
kannada-1std,"ಪ್ರಶ್ನೆ ಕೇಳಿ, ಮಕ್ಕಳಿಂದ ಉತ್ತರ ಹೇಳಿಸಿ.",4,ರಾಗಿಯ ಪೈರಿನಲ್ಲಿ ಏನು ಬಿಟ್ಟಿತು?,,,,
kannada-1std,"ಪ್ರಶ್ನೆ ಕೇಳಿ, ಮಕ್ಕಳಿಂದ ಉತ್ತರ ಹೇಳಿಸಿ.",5,ಕೋಳಿ ಯಾರನ್ನು ಕೂಡಿಕೊಂಡು ರಾಗಿಯ ತೆನೆಗಳನ್ನು ಕೊಯ್ದಿತು?,,,,
kannada-1std,"ಪ್ರಶ್ನೆ ಕೇಳಿ, ಮಕ್ಕಳಿಂದ ಉತ್ತರ ಹೇಳಿಸಿ.",6,ಗುಬ್ಬಚ್ಚಿ ಮತ್ತು ಪಾರಿವಾಳಗಳಿಗೆ ಏನು ತಿಳಿಯಿತು?,,,,
kannada-1std,"ಪ್ರಶ್ನೆ ಕೇಳಿ, ಮಕ್ಕಳಿಂದ ಉತ್ತರ ಹೇಳಿಸಿ.",7,ಕೋಳಿಗೆ ಏನು ಅನಿಸಿತು?,,,,
kannada-1std,ಕೊಟ್ಟಿರುವ ವಾಕ್ಯಗಳಲ್ಲಿ ಬಿಟ್ಟಿರುವ ಪದಗಳನ್ನು ಹೇಳಿಸಿ,1,ಕೋಳಿ ರಾಗಿಯನ್ನು ಬಿತ್ತಲು ಗುಬ್ಬಚ್ಚಿಯ,,,,
kannada-1std,ಕೊಟ್ಟಿರುವ ವಾಕ್ಯಗಳಲ್ಲಿ ಬಿಟ್ಟಿರುವ ಪದಗಳನ್ನು ಹೇಳಿಸಿ,2,ಕೋಳಿ ತನ್ನ ಮರಿಗಳನ್ನು ಕೂಡಿಕೊಂಡು,,,,
kannada-1std,ಕೊಟ್ಟಿರುವ ವಾಕ್ಯಗಳಲ್ಲಿ ಬಿಟ್ಟಿರುವ ಪದಗಳನ್ನು ಹೇಳಿಸಿ,3,ಒಂದು ದಿನ ಗುಬ್ಬಚ್ಚಿ ಮತ್ತು ಪಾರಿವಾಳಗಳಿಗೆ ತುಂಬಾ,,,,
kannada-1std,ಕೊಟ್ಟಿರುವ ವಾಕ್ಯಗಳಲ್ಲಿ ಬಿಟ್ಟಿರುವ ಪದಗಳನ್ನು ಹೇಳಿಸಿ,4,ಗುಬ್ಬಚ್ಚಿ ಮತ್ತು ಪಾರಿವಾಳಗಳಿಗೆ ತಮ್ಮ,,,,
kannada-1std,"ಈ ಪ್ರಾಸ ಪದಗಳನ್ನು ಹೇಳಿ, ಮಕ್ಕಳಿಂದ ಹೇಳಿಸಿ.",1,"ಈ ಪ್ರಾಸ ಪದಗಳನ್ನು ಹೇಳಿ, ಮಕ್ಕಳಿಂದ ಹೇಳಿಸಿ.: ಎರಡು-ಹರಡು",,,,
kannada-1std,"ಈ ಪ್ರಾಸ ಪದಗಳನ್ನು ಹೇಳಿ, ಮಕ್ಕಳಿಂದ ಹೇಳಿಸಿ.",2,"ಈ ಪ್ರಾಸ ಪದಗಳನ್ನು ಹೇಳಿ, ಮಕ್ಕಳಿಂದ ಹೇಳಿಸಿ.: ಆರು-ಸಾರು",,,,
kannada-1std,"ಈ ಪ್ರಾಸ ಪದಗಳನ್ನು ಹೇಳಿ, ಮಕ್ಕಳಿಂದ ಹೇಳಿಸಿ.",3,"ಈ ಪ್ರಾಸ ಪದಗಳನ್ನು ಹೇಳಿ, ಮಕ್ಕಳಿಂದ ಹೇಳಿಸಿ.: ಎಂಟು-ದಂಟು",,,,
kannada-1std,"ಈ ಪ್ರಾಸ ಪದಗಳನ್ನು ಹೇಳಿ, ಮಕ್ಕಳಿಂದ ಹೇಳಿಸಿ.",4,"ಈ ಪ್ರಾಸ ಪದಗಳನ್ನು ಹೇಳಿ, ಮಕ್ಕಳಿಂದ ಹೇಳಿಸಿ.: ಹತ್ತು-ಎತ್ತು",,,,
kannada-1std,ಪದ್ಯದ ಸಾಲುಗಳನ್ನು ಕೆಳಗೆ ನೀಡಿದೆ. ಆ ಸಾಲುಗಳಲ್ಲಿ ಒಂದೊಂದು ಪದವನ್ನು,1,ಪದ್ಯದ ಸಾಲುಗಳನ್ನು ಕೆಳಗೆ ನೀಡಿದೆ. ಆ ಸಾಲುಗಳಲ್ಲಿ ಒಂದೊಂದು ಪದವನ್ನು: ಒಂದು ಎರಡು,,,,
kannada-1std,ಪದ್ಯದ ಸಾಲುಗಳನ್ನು ಕೆಳಗೆ ನೀಡಿದೆ. ಆ ಸಾಲುಗಳಲ್ಲಿ ಒಂದೊಂದು ಪದವನ್ನು,2,ಪದ್ಯದ ಸಾಲುಗಳನ್ನು ಕೆಳಗೆ ನೀಡಿದೆ. ಆ ಸಾಲುಗಳಲ್ಲಿ ಒಂದೊಂದು ಪದವನ್ನು: ಮೂರು ನಾಲ್ಕು,,,,
kannada-1std,ಪದ್ಯದ ಸಾಲುಗಳನ್ನು ಕೆಳಗೆ ನೀಡಿದೆ. ಆ ಸಾಲುಗಳಲ್ಲಿ ಒಂದೊಂದು ಪದವನ್ನು,3,ಪದ್ಯದ ಸಾಲುಗಳನ್ನು ಕೆಳಗೆ ನೀಡಿದೆ. ಆ ಸಾಲುಗಳಲ್ಲಿ ಒಂದೊಂದು ಪದವನ್ನು: ಐದು ಆರು,,,,
kannada-1std,ಪದ್ಯದ ಸಾಲುಗಳನ್ನು ಕೆಳಗೆ ನೀಡಿದೆ. ಆ ಸಾಲುಗಳಲ್ಲಿ ಒಂದೊಂದು ಪದವನ್ನು,4,ಪದ್ಯದ ಸಾಲುಗಳನ್ನು ಕೆಳಗೆ ನೀಡಿದೆ. ಆ ಸಾಲುಗಳಲ್ಲಿ ಒಂದೊಂದು ಪದವನ್ನು: ಏಳು ಎಂಟು,,,,
kannada-1std,ಪದ್ಯದ ಸಾಲುಗಳನ್ನು ಕೆಳಗೆ ನೀಡಿದೆ. ಆ ಸಾಲುಗಳಲ್ಲಿ ಒಂದೊಂದು ಪದವನ್ನು,5,ಪದ್ಯದ ಸಾಲುಗಳನ್ನು ಕೆಳಗೆ ನೀಡಿದೆ. ಆ ಸಾಲುಗಳಲ್ಲಿ ಒಂದೊಂದು ಪದವನ್ನು: ಒಂಬತ್ತು ಹತ್ತು,,,,
kannada-1std,ಪಾಠದ ವಾಕ್ಯಗಳನ್ನು ಕೆಳಗೆ ನೀಡಿದೆ. ಬಿಟ್ಟಿರುವ ಪದವನ್ನು ಸೇರಿಸಿ ಮಕ್ಕಳಿಂದ ಹೇಳಿಸಿ.,1,ಹೂದೋಟಕ್ಕೆ ಬರಲು ನನಗೆ,,,,
kannada-1std,ಪಾಠದ ವಾಕ್ಯಗಳನ್ನು ಕೆಳಗೆ ನೀಡಿದೆ. ಬಿಟ್ಟಿರುವ ಪದವನ್ನು ಸೇರಿಸಿ ಮಕ್ಕಳಿಂದ ಹೇಳಿಸಿ.,2,ನಾನು ಹೋಗಿ ಸ್ವಲ್ಪ ಹೊತ್ತು,,,,
kannada-1std,ಪಾಠದ ವಾಕ್ಯಗಳನ್ನು ಕೆಳಗೆ ನೀಡಿದೆ. ಬಿಟ್ಟಿರುವ ಪದವನ್ನು ಸೇರಿಸಿ ಮಕ್ಕಳಿಂದ ಹೇಳಿಸಿ.,3,ಪಾಠದ ವಾಕ್ಯಗಳನ್ನು ಕೆಳಗೆ ನೀಡಿದೆ. ಬಿಟ್ಟಿರುವ ಪದವನ್ನು ಸೇರಿಸಿ ಮಕ್ಕಳಿಂದ ಹೇಳಿಸಿ.: ನಿಮ್ಮ,,,,
kannada-1std,ಪಾಠದ ವಾಕ್ಯಗಳನ್ನು ಕೆಳಗೆ ನೀಡಿದೆ. ಬಿಟ್ಟಿರುವ ಪದವನ್ನು ಸೇರಿಸಿ ಮಕ್ಕಳಿಂದ ಹೇಳಿಸಿ.,4,ಪಾಠದ ವಾಕ್ಯಗಳನ್ನು ಕೆಳಗೆ ನೀಡಿದೆ. ಬಿಟ್ಟಿರುವ ಪದವನ್ನು ಸೇರಿಸಿ ಮಕ್ಕಳಿಂದ ಹೇಳಿಸಿ.: ನೀನು ತುಂಬಾ,,,,
kannada-1std,"ಮಕ್ಕಳಿಗೆ ಪ್ರಶ್ನೆ ಕೇಳಿ, ಉತ್ತರ ಹೇಳಿಸಿ.",1,ಅಜ್ಜಿ ದಿನಾಲು ಸಂಜೆ ಎಲ್ಲಿಗೆ ಹೋಗುತ್ತಿದ್ದರು?,,,,
kannada-1std,"ಮಕ್ಕಳಿಗೆ ಪ್ರಶ್ನೆ ಕೇಳಿ, ಉತ್ತರ ಹೇಳಿಸಿ.",2,ದೇಹಕ್ಕೆ ಒಳ್ಳೆಯ ವ್ಯಾಯಾಮ ಯಾವುದು?,,,,
kannada-1std,"ಮಕ್ಕಳಿಗೆ ಪ್ರಶ್ನೆ ಕೇಳಿ, ಉತ್ತರ ಹೇಳಿಸಿ.",3,ಸುಮಾ ಯಾವ ಆಟ ಆಡಿದಳು?,,,,
kannada-1std,"ಯಾರು ಯಾರಿಗೆ ಹೇಳಿದರು ಕೇಳಿದರು ಎಂದು ಮಕ್ಕಳನ್ನು ಕೇಳಿ, ಉತ್ತರ",2,ನಡೆಯುವುದು ದೇಹಕ್ಕೆ ಒಳ್ಳೆಯ ವ್ಯಾಯಾಮ. ಈ ವ್ಯಾಯಾಮ ಆರೋಗ್ಯಕ್ಕೆ,,,,
kannada-1std,"ಈ ಕೆಳಗಿನ ವಾಕ್ಯಗಳನ್ನು ಓದಿ ಹೇಳಿ, ಮಕ್ಕಳಿಂದ ಹೇಳಿಸಿ.",1,ನಾನು ದಿನಾಲೂ ಸ್ನಾನ ಮಾಡುತ್ತೇನೆ.,,,,
kannada-1std,"ಈ ಕೆಳಗಿನ ವಾಕ್ಯಗಳನ್ನು ಓದಿ ಹೇಳಿ, ಮಕ್ಕಳಿಂದ ಹೇಳಿಸಿ.",2,ನಮ್ಮ ಊರಿನಲ್ಲಿ ಹಲವಾರು ಮನೆಗಳಿವೆ.,,,,
kannada-1std,"ಈ ಕೆಳಗಿನ ವಾಕ್ಯಗಳನ್ನು ಓದಿ ಹೇಳಿ, ಮಕ್ಕಳಿಂದ ಹೇಳಿಸಿ.",3,ನನ್ನ ಗೆಳತಿ ತುಂಬಾ ಜಾಣೆ.,,,,
kannada-1std,ಪದ್ಯದ ಸಾಲುಗಳಲ್ಲಿ ಬಿಟ್ಟಿರುವ ಪದವನ್ನು ಮಕ್ಕಳಿಂದ ಹೇಳಿಸಿ.,1,ಅಪ್ಪನ ಜೊತೆ ನಾ,,,,
kannada-1std,ಪದ್ಯದ ಸಾಲುಗಳಲ್ಲಿ ಬಿಟ್ಟಿರುವ ಪದವನ್ನು ಮಕ್ಕಳಿಂದ ಹೇಳಿಸಿ.,2,ಪದ್ಯದ ಸಾಲುಗಳಲ್ಲಿ ಬಿಟ್ಟಿರುವ ಪದವನ್ನು ಮಕ್ಕಳಿಂದ ಹೇಳಿಸಿ.: ಎತ್ತರ ದನಿಯಲ್ಲಿ,,,,
kannada-1std,ಪದ್ಯದ ಸಾಲುಗಳಲ್ಲಿ ಬಿಟ್ಟಿರುವ ಪದವನ್ನು ಮಕ್ಕಳಿಂದ ಹೇಳಿಸಿ.,4,ಪದ್ಯದ ಸಾಲುಗಳಲ್ಲಿ ಬಿಟ್ಟಿರುವ ಪದವನ್ನು ಮಕ್ಕಳಿಂದ ಹೇಳಿಸಿ.: ಸುಂದರ ಸೃಷ್ಟಿಯ,,,,
kannada-1std,"ಮಕ್ಕಳಿಗೆ ಪ್ರಶ್ನೆ ಕೇಳಿ, ಉತ್ತರ ಹೇಳಿಸಿ.",1,ಕವಿಯು ಯಾರ ಜೊತೆ ದುಡಿಯುವನು?,,,,
kannada-1std,"ಮಕ್ಕಳಿಗೆ ಪ್ರಶ್ನೆ ಕೇಳಿ, ಉತ್ತರ ಹೇಳಿಸಿ.",2,ಕೌತುಕ ವಿಷಯ ಎಲ್ಲಿ ನಡೆದಿದೆ?,,,,
kannada-1std,"ಮಕ್ಕಳಿಗೆ ಪ್ರಶ್ನೆ ಕೇಳಿ, ಉತ್ತರ ಹೇಳಿಸಿ.",3,ಹಳ್ಳಿಗೆ ಯಾವಾಗ ಹೋಗಬೇಕು?,,,,
kannada-1std,"ಕೆಳಗಿನ ಸಾಲುಗಳನ್ನು ಮಕ್ಕಳಿಗೆ ಹೇಳಿ, ಅವರಿಂದ ಹೇಳಿಸಿ.",1,ಬೇಸಿಗೆ ರಜೆಯಲ್ಲಿ ಹಳ್ಳಿಗೆ ಹೋಗಬೇಕು.,,,,
kannada-1std,"ಕೆಳಗಿನ ಸಾಲುಗಳನ್ನು ಮಕ್ಕಳಿಗೆ ಹೇಳಿ, ಅವರಿಂದ ಹೇಳಿಸಿ.",2,ರೈತನು ಬೆವರು ಸುರಿಸಿ ದುಡಿವನು.,,,,
kannada-1std,"ಕೆಳಗಿನ ಸಾಲುಗಳನ್ನು ಮಕ್ಕಳಿಗೆ ಹೇಳಿ, ಅವರಿಂದ ಹೇಳಿಸಿ.",4,ತೋಟದಲ್ಲಿ ಬಗೆ ಬಗೆ ಹಣ್ಣುಗಳಿವೆ.,,,,
kannada-1std,"ಕೆಳಗಿನ ಸಾಲುಗಳನ್ನು ಮಕ್ಕಳಿಗೆ ಹೇಳಿ, ಅವರಿಂದ ಹೇಳಿಸಿ.",5,ಸೃಷ್ಟಿಯು ಹಚ್ಚನೆ ಹಸುರಾಗಿದೆ.,,,,
kannada-1std,ಈ ವಾಕ್ಯಗಳಲ್ಲಿನ ಬಿಟ್ಟಿರುವ ಪದವನ್ನು ಮಕ್ಕಳಿಂದ ಹೇಳಿಸಿ.,1,ಆ ಕೋತಿಯ ಬಾಲ,,,,
kannada-1std,ಈ ವಾಕ್ಯಗಳಲ್ಲಿನ ಬಿಟ್ಟಿರುವ ಪದವನ್ನು ಮಕ್ಕಳಿಂದ ಹೇಳಿಸಿ.,2,ಈ ವಾಕ್ಯಗಳಲ್ಲಿನ ಬಿಟ್ಟಿರುವ ಪದವನ್ನು ಮಕ್ಕಳಿಂದ ಹೇಳಿಸಿ.: ಒಂದು ಅಳಿಲು,,,,
kannada-1std,ಈ ವಾಕ್ಯಗಳಲ್ಲಿನ ಬಿಟ್ಟಿರುವ ಪದವನ್ನು ಮಕ್ಕಳಿಂದ ಹೇಳಿಸಿ.,3,ಈ ವಾಕ್ಯಗಳಲ್ಲಿನ ಬಿಟ್ಟಿರುವ ಪದವನ್ನು ಮಕ್ಕಳಿಂದ ಹೇಳಿಸಿ.: ಕೋತಿಗೆ,,,,
kannada-1std,ಈ ವಾಕ್ಯಗಳಲ್ಲಿನ ಬಿಟ್ಟಿರುವ ಪದವನ್ನು ಮಕ್ಕಳಿಂದ ಹೇಳಿಸಿ.,4,"ಈ ವಾಕ್ಯಗಳಲ್ಲಿನ ಬಿಟ್ಟಿರುವ ಪದವನ್ನು ಮಕ್ಕಳಿಂದ ಹೇಳಿಸಿ.: ಮಂಗಣ್ಣಾ, ಇದು",,,,
kannada-1std,"ಮಕ್ಕಳಿಗೆ ಪ್ರಶ್ನೆ ಕೇಳಿ, ಉತ್ತರ ಹೇಳಿಸಿ.",1,ಕೋತಿ ಯಾವುದರ ಮೇಲೆ ಕುಳಿತಿತ್ತು?,,,,
kannada-1std,"ಮಕ್ಕಳಿಗೆ ಪ್ರಶ್ನೆ ಕೇಳಿ, ಉತ್ತರ ಹೇಳಿಸಿ.",2,ಕೋತಿಯ ಬಾಲ ಹಿಡಿದು ಯಾವುದು ಜೀಕತೊಡಗಿತು?,,,,
kannada-1std,"ಮಕ್ಕಳಿಗೆ ಪ್ರಶ್ನೆ ಕೇಳಿ, ಉತ್ತರ ಹೇಳಿಸಿ.",3,“ಮಂಗಣ್ಣಾ ಇದು ನಿನ್ನ ಬಾಲವೇ? ಜೋಕಾಲಿ ಎಂದು ತಿಳಿದು ಜೀಕುತ್ತಿದ್ದೆ.,,,,
kannada-1std,"ಮಕ್ಕಳಿಗೆ ಪ್ರಶ್ನೆ ಕೇಳಿ, ಉತ್ತರ ಹೇಳಿಸಿ.",4,ಅಳಿಲು ಹೇಗೆ ಹೋಗಿ ಮರದ ಕೊಂಬೆಯನ್ನು ಏರಿತು?,,,,
kannada-1std,ಮಾದರಿಯಂತೆ ವಾಕ್ಯಗಳನ್ನು ಮಾಡಿ ಮಕ್ಕಳಿಂದ ಹೇಳಿಸಿ.,1,ಕೋತಿ ಒಂದು ಪ್ರಾಣಿ.,,,,
kannada-1std,ಮಾದರಿಯಂತೆ ವಾಕ್ಯಗಳನ್ನು ಮಾಡಿ ಮಕ್ಕಳಿಂದ ಹೇಳಿಸಿ.,2,ಕೋತಿಯು ಮರವನ್ನು ಹತ್ತುತ್ತದೆ.,,,,
kannada-1std,ಮಾದರಿಯಂತೆ ವಾಕ್ಯಗಳನ್ನು ಮಾಡಿ ಮಕ್ಕಳಿಂದ ಹೇಳಿಸಿ.,3,ಮಾದರಿಯಂತೆ ವಾಕ್ಯಗಳನ್ನು ಮಾಡಿ ಮಕ್ಕಳಿಂದ ಹೇಳಿಸಿ.: ಕೋತಿಗೆ ಬಾಲವಿದೆ.,,,,
kannada-1std,ಬಿಟ್ಟಿರುವ ಅಕ್ಷರಗಳನ್ನು ಆವರಣದಲ್ಲಿ ನೀಡಿರುವ ಅಕ್ಷರಗಳಲ್ಲಿ ಸೂಕ್ತವಾದುದನ್ನು ಗುರುತಿಸಿ,1,ಬಿಟ್ಟಿರುವ ಅಕ್ಷರಗಳನ್ನು ಆವರಣದಲ್ಲಿ ನೀಡಿರುವ ಅಕ್ಷರಗಳಲ್ಲಿ ಸೂಕ್ತವಾದುದನ್ನು ಗುರುತಿಸಿ: ಗ,,,,
kannada-1std,ಬಿಟ್ಟಿರುವ ಅಕ್ಷರಗಳನ್ನು ಆವರಣದಲ್ಲಿ ನೀಡಿರುವ ಅಕ್ಷರಗಳಲ್ಲಿ ಸೂಕ್ತವಾದುದನ್ನು ಗುರುತಿಸಿ,2,ಬಿಟ್ಟಿರುವ ಅಕ್ಷರಗಳನ್ನು ಆವರಣದಲ್ಲಿ ನೀಡಿರುವ ಅಕ್ಷರಗಳಲ್ಲಿ ಸೂಕ್ತವಾದುದನ್ನು ಗುರುತಿಸಿ: ಸ,,,,
kannada-1std,ಬಿಟ್ಟಿರುವ ಅಕ್ಷರಗಳನ್ನು ಆವರಣದಲ್ಲಿ ನೀಡಿರುವ ಅಕ್ಷರಗಳಲ್ಲಿ ಸೂಕ್ತವಾದುದನ್ನು ಗುರುತಿಸಿ,3,ಬಿಟ್ಟಿರುವ ಅಕ್ಷರಗಳನ್ನು ಆವರಣದಲ್ಲಿ ನೀಡಿರುವ ಅಕ್ಷರಗಳಲ್ಲಿ ಸೂಕ್ತವಾದುದನ್ನು ಗುರುತಿಸಿ: ಅರ,,,,
kannada-1std,ಪದಗಳಲ್ಲಿ ಬಿಟ್ಟಿರುವ ಅಕ್ಷರವನ್ನು ಆವರಣದಲ್ಲಿ ನೀಡಲಾಗಿದೆ. ಸೂಕ್ತ ಅಕ್ಷರವನ್ನು,2,ಪದಗಳಲ್ಲಿ ಬಿಟ್ಟಿರುವ ಅಕ್ಷರವನ್ನು ಆವರಣದಲ್ಲಿ ನೀಡಲಾಗಿದೆ. ಸೂಕ್ತ ಅಕ್ಷರವನ್ನು: ನ,,,,
kannada-1std,ಪದಗಳಲ್ಲಿ ಬಿಟ್ಟಿರುವ ಅಕ್ಷರವನ್ನು ಆವರಣದಲ್ಲಿ ನೀಡಲಾಗಿದೆ. ಸೂಕ್ತ ಅಕ್ಷರವನ್ನು,4,ಪದಗಳಲ್ಲಿ ಬಿಟ್ಟಿರುವ ಅಕ್ಷರವನ್ನು ಆವರಣದಲ್ಲಿ ನೀಡಲಾಗಿದೆ. ಸೂಕ್ತ ಅಕ್ಷರವನ್ನು: ಬ,,,,
kannada-1std,ಪದಗಳಲ್ಲಿ ಬಿಟ್ಟಿರುವ ಅಕ್ಷರವನ್ನು ಆವರಣದಲ್ಲಿ ನೀಡಲಾಗಿದೆ. ಸೂಕ್ತ ಅಕ್ಷರವನ್ನು,5,ಪದಗಳಲ್ಲಿ ಬಿಟ್ಟಿರುವ ಅಕ್ಷರವನ್ನು ಆವರಣದಲ್ಲಿ ನೀಡಲಾಗಿದೆ. ಸೂಕ್ತ ಅಕ್ಷರವನ್ನು: ಉ,,,,
kannada-1std,ಪದಗಳಲ್ಲಿ ಬಿಟ್ಟಿರುವ ಅಕ್ಷರವನ್ನು ಆವರಣದಲ್ಲಿ ನೀಡಲಾಗಿದೆ. ಸೂಕ್ತ ಅಕ್ಷರವನ್ನು,6,ಪದಗಳಲ್ಲಿ ಬಿಟ್ಟಿರುವ ಅಕ್ಷರವನ್ನು ಆವರಣದಲ್ಲಿ ನೀಡಲಾಗಿದೆ. ಸೂಕ್ತ ಅಕ್ಷರವನ್ನು: ವ,,,,
kannada-1std,ಅ' ಪಟ್ಟಿಯಲ್ಲಿ ಪದಗಳನ್ನು 'ಆ' ಪಟ್ಟಿಯಲ್ಲಿ ಚಿತ್ರಗಳನ್ನು ಕೊಟ್ಟಿದೆ. ಚಿತ್ರಕ್ಕೆ,1,ಅ' ಪಟ್ಟಿಯಲ್ಲಿ ಪದಗಳನ್ನು 'ಆ' ಪಟ್ಟಿಯಲ್ಲಿ ಚಿತ್ರಗಳನ್ನು ಕೊಟ್ಟಿದೆ. ಚಿತ್ರಕ್ಕೆ: ಆಲ,,,,
kannada-1std,ಅ' ಪಟ್ಟಿಯಲ್ಲಿ ಪದಗಳನ್ನು 'ಆ' ಪಟ್ಟಿಯಲ್ಲಿ ಚಿತ್ರಗಳನ್ನು ಕೊಟ್ಟಿದೆ. ಚಿತ್ರಕ್ಕೆ,2,ಅ' ಪಟ್ಟಿಯಲ್ಲಿ ಪದಗಳನ್ನು 'ಆ' ಪಟ್ಟಿಯಲ್ಲಿ ಚಿತ್ರಗಳನ್ನು ಕೊಟ್ಟಿದೆ. ಚಿತ್ರಕ್ಕೆ: ತಬಲ,,,,
kannada-1std,ಅ' ಪಟ್ಟಿಯಲ್ಲಿ ಪದಗಳನ್ನು 'ಆ' ಪಟ್ಟಿಯಲ್ಲಿ ಚಿತ್ರಗಳನ್ನು ಕೊಟ್ಟಿದೆ. ಚಿತ್ರಕ್ಕೆ,3,ಅ' ಪಟ್ಟಿಯಲ್ಲಿ ಪದಗಳನ್ನು 'ಆ' ಪಟ್ಟಿಯಲ್ಲಿ ಚಿತ್ರಗಳನ್ನು ಕೊಟ್ಟಿದೆ. ಚಿತ್ರಕ್ಕೆ: ನಳ,,,,
